law_name,domain,A1_Consistency,A2_Recursion,A3_Invariance,A4_Selection,CRIS_COMPLIANT,A1_note,A2_note,A3_note,A4_note
Newton's First Law,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Newton's Second Law,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Newton's Third Law,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Conservation of Momentum,Physics,True,True,True,True,True,Fixed point exists,"Closed map (discrete, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Conservation of Angular Momentum,Physics,True,True,True,True,True,Fixed point exists,"Closed map (discrete, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Conservation of Energy,Physics,True,True,True,True,True,Fixed point exists,"Closed map (discrete, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
First Law of Thermodynamics,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Second Law of Thermodynamics,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Third Law of Thermodynamics,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Coulomb's Law,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Faraday's Law,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Einstein's E=mc^2,Physics,True,True,True,True,True,Fixed point exists,"Closed map (discrete, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Schrodinger Equation,Physics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Natural Selection,Biology,True,True,True,True,True,Fixed point exists,"Closed map (discrete, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Mendelian Inheritance,Biology,True,True,True,True,True,Fixed point exists,"Closed map (discrete, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Hardy-Weinberg Equilibrium,Biology,True,True,True,True,True,Fixed point exists,"Closed map (discrete, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Central Dogma,Biology,True,True,True,True,True,Fixed point exists,"Closed map (discrete, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Homeostasis,Biology,True,True,True,True,True,Fixed point exists,"Closed map (discrete, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Lotka-Volterra Equations,Biology,True,True,True,True,True,Fixed point exists,"Closed map (continuous, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Kleiber's Law,Biology,True,True,True,True,True,Fixed point exists,"Closed map (continuous, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Cell Theory,Biology,True,True,True,True,True,Fixed point exists,"Closed map (discrete, frequency_vector -> frequency_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Commutative Law (Addition),Math,True,True,True,True,True,Fixed point exists,"Closed map (continuous, scalar -> scalar)",Invariant structure declared,lambda = 0.95 (contractive)
Associative Law (Addition),Math,True,True,True,True,True,Fixed point exists,"Closed map (continuous, scalar -> scalar)",Invariant structure declared,lambda = 0.95 (contractive)
Distributive Law,Math,True,True,True,True,True,Fixed point exists,"Closed map (continuous, scalar -> scalar)",Invariant structure declared,lambda = 0.95 (contractive)
Law of Non-Contradiction,Logic,True,True,True,True,True,Fixed point exists,"Closed map (continuous, truth_val -> truth_val)",Invariant structure declared,lambda = 0.95 (contractive)
Law of Excluded Middle,Logic,True,True,True,True,True,Fixed point exists,"Closed map (continuous, truth_val -> truth_val)",Invariant structure declared,lambda = 0.95 (contractive)
Modus Ponens,Logic,True,True,True,True,True,Fixed point exists,"Closed map (discrete, truth_val -> truth_val)",Invariant structure declared,lambda = 0.95 (contractive)
De Morgan's Laws,Logic,True,True,True,True,True,Fixed point exists,"Closed map (continuous, truth_val -> truth_val)",Invariant structure declared,lambda = 0.95 (contractive)
Transitive Law,Logic,True,True,True,True,True,Fixed point exists,"Closed map (continuous, truth_val -> truth_val)",Invariant structure declared,lambda = 0.95 (contractive)
Reflexivity Law,Logic,True,True,True,True,True,Fixed point exists,"Closed map (continuous, truth_val -> truth_val)",Invariant structure declared,lambda = 0.95 (contractive)
Symmetry Law,Logic,True,True,True,True,True,Fixed point exists,"Closed map (continuous, truth_val -> truth_val)",Invariant structure declared,lambda = 0.95 (contractive)
Extensionality,Set Theory,True,True,True,True,True,Fixed point exists,"Closed map (discrete, scalar -> scalar)",Invariant structure declared,lambda = 0.95 (contractive)
Kraft Inequality,Math,True,True,True,True,True,Fixed point exists,"Closed map (discrete, scalar -> scalar)",Invariant structure declared,lambda = 0.95 (contractive)
Source Coding Theorem,Info Theory,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Channel Coding Theorem,Info Theory,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Data Processing Inequality,Info Theory,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Bayes' Theorem,Info Theory,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Law of Large Numbers,Statistics,True,True,True,True,True,Fixed point exists,"Closed map (continuous, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Central Limit Theorem,Statistics,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Maximum Entropy Principle,Statistics,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Law of Conservation of Mass,Chemistry,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Law of Constant Composition,Chemistry,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Law of Multiple Proportions,Chemistry,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Avogadro's Law,Chemistry,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Ideal Gas Law,Chemistry,True,True,True,True,True,Fixed point exists,"Closed map (continuous, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Le Chatelier's Principle,Chemistry,True,True,True,True,True,Fixed point exists,"Closed map (discrete, phase_vector -> phase_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Supply and Demand,Economics,True,True,True,True,True,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 0.95 (contractive)
Nash Equilibrium,Game Theory,True,True,True,True,True,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 0.95 (contractive)
Evolutionary Stable Strategy,Game Theory,True,True,True,True,True,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 0.95 (contractive)
Pareto Principle,Economics,True,True,True,False,False,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 1.2 >= 1 (divergent or marginal — FAILS Selection)
Hebb's Rule,Neuroscience,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Prediction Error Minimization,Neuroscience,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Free Energy Principle,Neuroscience,True,True,True,True,True,Fixed point exists,"Closed map (discrete, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Weber's Law,Neuroscience,True,True,True,True,True,Fixed point exists,"Closed map (continuous, state_vector -> state_vector)",Invariant structure declared,lambda = 0.95 (contractive)
Dunbar's Number,Social,True,True,True,False,False,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 1.2 >= 1 (divergent or marginal — FAILS Selection)
Power Law (Zipf),Social,True,True,True,True,True,Fixed point exists,"Closed map (continuous, distribution -> distribution)",Invariant structure declared,lambda = 0.95 (contractive)
Network Effects,Social,True,True,True,True,True,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 0.95 (contractive)
Tragedy of the Commons,Social,True,True,True,False,False,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 1.2 >= 1 (divergent or marginal — FAILS Selection)
Reciprocity Principle,Social,True,True,True,True,True,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 0.95 (contractive)
Legitimacy Requirement,Social,True,True,True,True,True,Fixed point exists,"Closed map (discrete, distribution -> distribution)",Invariant structure declared,lambda = 0.95 (contractive)
